WANID	Provider	WANType	LineSpeed	UploadSpeed	DownloadSpeed	UploadShaping	WANNetwork	WANIP	CircuitID	LOCID	PhoneNumber	AssetTag	ServiceType
LDB_ITL1_2921	TELUS	ADSL CE	NULL	NULL	NULL	NULL	10.45.100.0/25	10.45.100.74	1318094	NULL	NULL	NULL	NULL
LDB_ITL2_2921	TELUS	ADSL	NULL	NULL	NULL	NULL	10.45.100.0/25	10.45.100.72	1318094	NULL	NULL	NULL	NULL
LDBRS002-1	TELUS	ADSL	NULL	6M	NULL	395000	10.46.0.0/29	10.46.0.2	1433915	ASH130-00	604-261-0410	1137346	NULL
LDBRS003-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.0.8/29	10.46.0.10	1137348	FJO230-00	NULL	1137348-SO	NULL
LDBRS005-1	TELUS	ADSL	NULL	NULL	NULL	545000	10.46.0.16/29	10.46.0.18	1354594	CAM340-00	NULL	1138955-SO	NULL
LDBRS006-1	TELUS	STS L3 WAN VPN ADSL CE	NULL	NULL	NULL	875000	10.46.0.24/29	10.46.0.26	1346324	SURKA0-00	6045352678	1346324-SO	NULL
LDBRS007-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.0.32/29	10.46.0.34	1349190	CHI260-00	NULL	1349190-SO	NULL
LDBRS008-1	TELUS	STS L3 WAN VPN ADSL CE	NULL	NULL	NULL	795000	10.46.0.40 /29	10.46.0.42	1354722	CUM010-00	NULL	1139160-SO	NULL
LDBRS009-1	TELUS	ADSL	NULL	NULL	NULL	775000	10.46.0.48/29	10.46.0.50	1408412	CRA550-00	NULL	1137350-SO	NULL
LDBRS010-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.0.56/29	10.46.0.58	1348632	COU330-00	NULL	1348632-SO	NULL
LDBRS012-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	865000	10.46.6.104/29	10.46.6.105	1372440	DUN140-00	NULL	1372440-SO	NULL
LDBRS013-1	TELUS	STS WAN L3 VPN Ver2-Asymmetric	NULL	NULL	NULL	825000	10.46.0.72/29	10.46.0.74	1409264	FER180-00	NULL	1409264-SO	NULL
LDBRS014-1	TELUS	Fiber	1.5M	NULL	NULL	1475000	10.46.0.80/29	10.46.0.82	1340593	GRE050-00	NULL	1340593-SO	NULL
LDBRS015-1	TELUS	ADSL	NULL	NULL	NULL	825000	10.46.0.88 /29	10.46.0.90	1432842	GRFAJ0-00	250-442-3417	1432842-SO	NULL
LDBRS016-1	TELUS	ADSL	NULL	NULL	NULL	825000	10.46.0.96/29	10.46.0.98	1405994	GOL590-00	NULL	1405994-SO	NULL
LDBRS017-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.0.104/29	10.46.0.106	1409195	INV200-00	NULL	1409195-SO	NULL
LDBRS018-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.0.104/29	10.46.0.114	1137336	KAS060-00	NULL	1137336-SO	NULL
LDBRS019-1	TELUS	ADSL	NULL	NULL	NULL	745000	10.46.0.120/29	10.46.0.122	1359298	KRM020-00	250-499-2782	1359298-SO	NULL
LDBRS023-1	TELUS	ADSL	NULL	NULL	NULL	555000	10.46.0.128/29	10.46.0.130	1140624	LILAF0-00	NULL	1140624-SO	NULL
LDBRS024-1	TELUS	ADSL	NULL	NULL	NULL	685000	10.46.0.136/29	10.46.0.138	1409896	LAD220-00	NULL	1134988-SO	NULL
LDBRS025-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.0.144/29	10.46.0.146	1352124	LNR150-00	NULL	1135121-SO	NULL
